type,x,y,z,yaw,scale
AppleArch,-6.5569,-0.5377,-0.8310,-225.00,0.2941
AppleArch,-6.7116,-0.5377,-0.4025,-42.18,0.2941
AppleArch,-6.7116,-0.5377,-0.5909,-42.18,0.2941
AppleArch,-6.7116,-0.5377,-0.7728,-42.18,0.2941
AppleArch,-5.0978,-0.5377,-0.4606,-225.00,0.2941
AppleArch,-5.0978,-0.5377,-0.6490,-225.00,0.2941
AppleArch,-5.0978,-0.5377,-0.8310,-225.00,0.2941
AppleArch,-5.2524,-0.5377,-0.4025,-42.18,0.2941
AppleArch,-5.2524,-0.5377,-0.5909,-42.18,0.2941
AppleArch,-5.2524,-0.5377,-0.7728,-42.18,0.2941
AppleArch,-2.0884,-0.5377,-0.4606,-225.00,0.2941
AppleArch,-2.0884,-0.5377,-0.6490,-225.00,0.2941
AppleArch,-2.0884,-0.5377,-0.8310,-225.00,0.2941
AppleArch,-2.2431,-0.5377,-0.4025,-42.18,0.2941
AppleArch,-2.2431,-0.5377,-0.5909,-42.18,0.2941
AppleArch,-2.2431,-0.5377,-0.7728,-42.18,0.2941
AppleArch,-0.5468,-0.5377,-0.4606,-225.00,0.2941
AppleArch,-0.5468,-0.5377,-0.6490,-225.00,0.2941
AppleArch,-0.5468,-0.5377,-0.8310,-225.00,0.2941
AppleArch,-0.7014,-0.5377,-0.4025,-42.18,0.2941
AppleArch,-0.7014,-0.5377,-0.5909,-42.18,0.2941
AppleArch,-0.7014,-0.5377,-0.7728,-42.18,0.2941
Bushes,4.5354,-0.5370,22.1137,-15.46,0.2831
Bushes,4.2580,-0.5370,22.0824,-15.46,0.2831
Bushes,1.6902,-0.5370,28.9379,0.00,0.2831
Bushes,4.5354,-0.5370,22.1137,-15.46,0.2831
Bushes,4.2580,-0.5370,22.0824,-15.46,0.2831
Bushes,1.6902,-0.5370,28.9379,0.00,0.2831
Bushes,0.0372,-0.5370,21.1062,-15.46,0.2831
Bushes,1.5068,-0.5370,21.1216,-15.46,0.2831
Bushes,1.5344,-0.5370,22.1038,-15.46,0.2831
Bushes,3.0282,-0.5370,22.0931,-15.46,0.2831
Bushes,3.0204,-0.5370,21.0896,-15.46,0.2831
Bushes,4.5188,-0.5370,21.1140,-15.46,0.2831
Bushes,-0.2403,-0.5370,21.0750,-15.46,0.2831
Bushes,1.2293,-0.5370,21.0903,-15.46,0.2831
Bushes,1.2570,-0.5370,22.0725,-15.46,0.2831
Bushes,2.7508,-0.5370,22.0618,-15.46,0.2831
Bushes,2.7429,-0.5370,21.0583,-15.46,0.2831
Bushes,4.2413,-0.5370,21.0827,-15.46,0.2831
Bushes,0.1342,-0.5370,28.9140,0.00,0.2831
Bushes,-1.3362,-0.5370,28.9140,0.00,0.2831
Bushes,-2.7569,-0.5370,27.9205,0.00,0.2831
Bushes,-1.3032,-0.5370,27.9205,0.00,0.2831
Bushes,0.1510,-0.5370,27.9205,0.00,0.2831
Bushes,1.6411,-0.5370,27.9205,0.00,0.2831
Bushes,4.5096,-0.5370,-6.9037,-15.46,0.2831
Bushes,2.9994,-0.5370,-6.9037,-15.46,0.2831
Bushes,1.5334,-0.5370,-6.9037,-15.46,0.2831
Bushes,0.0151,-0.5370,-5.8958,-15.46,0.2831
Bushes,2.9926,-0.5370,-5.8958,-15.46,0.2831
Bushes,1.5282,-0.5370,-5.8958,-15.46,0.2831
Bushes,4.2321,-0.5370,-6.9350,-15.46,0.2831
Bushes,2.7219,-0.5370,-6.9350,-15.46,0.2831
Bushes,1.2559,-0.5370,-6.9350,-15.46,0.2831
Bushes,-0.2624,-0.5370,-5.9270,-15.46,0.2831
Bushes,2.7152,-0.5370,-5.9270,-15.46,0.2831
Bushes,1.2508,-0.5370,-5.9270,-15.46,0.2831
Bushes,1.6556,-0.5370,-0.1023,0.00,0.2831
Bushes,0.1454,-0.5370,-0.1023,0.00,0.2831
Bushes,-1.3206,-0.5370,-0.1023,0.00,0.2831
Bushes,-2.8389,-0.5370,0.9056,0.00,0.2831
Bushes,0.1387,-0.5370,0.9056,0.00,0.2831
Bushes,-1.3257,-0.5370,0.9056,0.00,0.2831
Bushes,4.5596,-0.5370,-5.8958,-15.46,0.2831
Bushes,4.2822,-0.5370,-5.9270,-15.46,0.2831
Bushes,1.7057,-0.5370,0.9056,0.00,0.2831
Carrots,-6.8057,0.1661,7.0296,0.00,0.2074
Carrots,-6.8057,0.1661,6.8735,0.00,0.2074
Carrots,-6.8057,0.1661,6.7249,0.00,0.2074
Carrots,-6.8057,0.1661,6.5615,0.00,0.2074
Carrots,-6.8965,0.1661,6.5615,0.00,0.2074
Carrots,-6.8965,0.1661,6.7249,0.00,0.2074
Carrots,-6.8965,0.1661,6.8735,0.00,0.2074
Carrots,-6.8965,0.1661,7.0296,0.00,0.2074
Carrots,-7.0153,0.1661,6.5615,0.00,0.2074
Carrots,-7.0153,0.1661,6.7249,0.00,0.2074
Carrots,-7.0153,0.1661,6.8735,0.00,0.2074
Carrots,-7.0153,0.1661,7.0296,0.00,0.2074
Carrots,-7.1063,0.1661,6.5615,0.00,0.2074
Carrots,-7.1063,0.1661,6.7249,0.00,0.2074
Carrots,-7.1063,0.1661,6.8735,0.00,0.2074
Carrots,-7.1063,0.1661,7.0296,0.00,0.2074
Carrots,-7.2251,0.1661,6.5615,0.00,0.2074
Carrots,-7.2251,0.1661,6.7249,0.00,0.2074
Carrots,-7.2251,0.1661,6.8735,0.00,0.2074
Carrots,-7.2251,0.1661,7.0296,0.00,0.2074
Carrots,-7.3063,0.1661,6.5615,0.00,0.2074
Carrots,-7.3063,0.1661,6.7249,0.00,0.2074
Carrots,-7.3063,0.1661,6.8735,0.00,0.2074
Carrots,-7.3063,0.1661,7.0296,0.00,0.2074
Carrots,-7.4251,0.1661,6.5615,0.00,0.2074
Carrots,-7.4251,0.1661,6.7249,0.00,0.2074
Carrots,-7.4251,0.1661,6.8735,0.00,0.2074
Carrots,-7.4251,0.1661,7.0296,0.00,0.2074
Carrots,-5.5805,0.1661,7.0296,0.00,0.2074
Carrots,-5.5805,0.1661,6.8735,0.00,0.2074
Carrots,-5.5805,0.1661,6.7249,0.00,0.2074
Carrots,-5.5805,0.1661,6.5615,0.00,0.2074
Carrots,-5.6713,0.1661,6.5615,0.00,0.2074
Carrots,-5.6713,0.1661,6.7249,0.00,0.2074
Carrots,-5.6713,0.1661,6.8735,0.00,0.2074
Carrots,-5.6713,0.1661,7.0296,0.00,0.2074
Carrots,-5.7901,0.1661,6.5615,0.00,0.2074
Carrots,-5.7901,0.1661,6.7249,0.00,0.2074
Carrots,-5.7901,0.1661,6.8735,0.00,0.2074
Carrots,-5.7901,0.1661,7.0296,0.00,0.2074
Carrots,-5.8810,0.1661,6.5615,0.00,0.2074
Carrots,-5.8810,0.1661,6.7249,0.00,0.2074
Carrots,-5.8810,0.1661,6.8735,0.00,0.2074
Carrots,-5.8810,0.1661,7.0296,0.00,0.2074
Carrots,-5.9999,0.1661,6.5615,0.00,0.2074
Carrots,-5.9999,0.1661,6.7249,0.00,0.2074
Carrots,-5.9999,0.1661,6.8735,0.00,0.2074
Carrots,-5.9999,0.1661,7.0296,0.00,0.2074
Carrots,-6.0811,0.1661,6.5615,0.00,0.2074
Carrots,-6.0811,0.1661,6.7249,0.00,0.2074
Carrots,-6.0811,0.1661,6.8735,0.00,0.2074
Carrots,-6.0811,0.1661,7.0296,0.00,0.2074
Carrots,-6.1999,0.1661,6.5615,0.00,0.2074
Carrots,-6.1999,0.1661,6.7249,0.00,0.2074
Carrots,-6.1999,0.1661,6.8735,0.00,0.2074
Carrots,-6.1999,0.1661,7.0296,0.00,0.2074
Carrots,-4.3002,0.1661,7.0296,0.00,0.2074
Carrots,-4.3002,0.1661,6.8735,0.00,0.2074
Carrots,-4.3002,0.1661,6.7249,0.00,0.2074
Carrots,-4.3002,0.1661,6.5615,0.00,0.2074
Carrots,-4.3910,0.1661,6.5615,0.00,0.2074
Carrots,-4.3910,0.1661,6.7249,0.00,0.2074
Carrots,-4.3910,0.1661,6.8735,0.00,0.2074
Carrots,-4.3910,0.1661,7.0296,0.00,0.2074
Carrots,-4.5098,0.1661,6.5615,0.00,0.2074
Carrots,-4.5098,0.1661,6.7249,0.00,0.2074
Carrots,-4.5098,0.1661,6.8735,0.00,0.2074
Carrots,-4.5098,0.1661,7.0296,0.00,0.2074
Carrots,-4.6007,0.1661,6.5615,0.00,0.2074
Carrots,-4.6007,0.1661,6.7249,0.00,0.2074
Carrots,-4.6007,0.1661,6.8735,0.00,0.2074
Carrots,-4.6007,0.1661,7.0296,0.00,0.2074
Carrots,-4.7196,0.1661,6.5615,0.00,0.2074
Carrots,-4.7196,0.1661,6.7249,0.00,0.2074
Carrots,-4.7196,0.1661,6.8735,0.00,0.2074
Carrots,-4.7196,0.1661,7.0296,0.00,0.2074
Carrots,-4.8007,0.1661,6.5615,0.00,0.2074
Carrots,-4.8007,0.1661,6.7249,0.00,0.2074
Carrots,-4.8007,0.1661,6.8735,0.00,0.2074
Carrots,-4.8007,0.1661,7.0296,0.00,0.2074
Carrots,-4.9196,0.1661,6.5615,0.00,0.2074
Carrots,-4.9196,0.1661,6.7249,0.00,0.2074
Carrots,-4.9196,0.1661,6.8735,0.00,0.2074
Carrots,-4.9196,0.1661,7.0296,0.00,0.2074
Carrots,-3.1128,0.1661,7.0296,0.00,0.2074
Carrots,-3.1128,0.1661,6.8735,0.00,0.2074
Carrots,-3.1128,0.1661,6.7249,0.00,0.2074
Carrots,-3.1128,0.1661,6.5615,0.00,0.2074
Carrots,-3.2036,0.1661,6.5615,0.00,0.2074
Carrots,-3.2036,0.1661,6.7249,0.00,0.2074
Carrots,-3.2036,0.1661,6.8735,0.00,0.2074
Carrots,-3.2036,0.1661,7.0296,0.00,0.2074
Carrots,-3.3224,0.1661,6.5615,0.00,0.2074
Carrots,-3.3224,0.1661,6.7249,0.00,0.2074
Carrots,-3.3224,0.1661,6.8735,0.00,0.2074
Carrots,-3.3224,0.1661,7.0296,0.00,0.2074
Carrots,-3.4134,0.1661,6.5615,0.00,0.2074
Carrots,-3.4134,0.1661,6.7249,0.00,0.2074
Carrots,-3.4134,0.1661,6.8735,0.00,0.2074
Carrots,-3.4134,0.1661,7.0296,0.00,0.2074
Carrots,-3.5322,0.1661,6.5615,0.00,0.2074
Carrots,-3.5322,0.1661,6.7249,0.00,0.2074
Carrots,-3.5322,0.1661,6.8735,0.00,0.2074
Carrots,-3.5322,0.1661,7.0296,0.00,0.2074
Carrots,-3.6134,0.1661,6.5615,0.00,0.2074
Carrots,-3.6134,0.1661,6.7249,0.00,0.2074
Carrots,-3.6134,0.1661,6.8735,0.00,0.2074
Carrots,-3.6134,0.1661,7.0296,0.00,0.2074
Carrots,-3.7322,0.1661,6.5615,0.00,0.2074
Carrots,-3.7322,0.1661,6.7249,0.00,0.2074
Carrots,-3.7322,0.1661,6.8735,0.00,0.2074
Carrots,-3.7322,0.1661,7.0296,0.00,0.2074
Carrots,-1.8325,0.1661,7.0296,0.00,0.2074
Carrots,-1.8325,0.1661,6.8735,0.00,0.2074
Carrots,-1.8325,0.1661,6.7249,0.00,0.2074
Carrots,-1.8325,0.1661,6.5615,0.00,0.2074
Carrots,-1.9233,0.1661,6.5615,0.00,0.2074
Carrots,-1.9233,0.1661,6.7249,0.00,0.2074
Carrots,-1.9233,0.1661,6.8735,0.00,0.2074
Carrots,-1.9233,0.1661,7.0296,0.00,0.2074
Carrots,-2.0421,0.1661,6.5615,0.00,0.2074
Carrots,-2.0421,0.1661,6.7249,0.00,0.2074
Carrots,-2.0421,0.1661,6.8735,0.00,0.2074
Carrots,-2.0421,0.1661,7.0296,0.00,0.2074
Carrots,-2.1331,0.1661,6.5615,0.00,0.2074
Carrots,-2.1331,0.1661,6.7249,0.00,0.2074
Carrots,-2.1331,0.1661,6.8735,0.00,0.2074
Carrots,-2.1331,0.1661,7.0296,0.00,0.2074
Carrots,-2.2519,0.1661,6.5615,0.00,0.2074
Carrots,-2.2519,0.1661,6.7249,0.00,0.2074
Carrots,-2.2519,0.1661,6.8735,0.00,0.2074
Carrots,-2.2519,0.1661,7.0296,0.00,0.2074
Carrots,-2.3331,0.1661,6.5615,0.00,0.2074
Carrots,-2.3331,0.1661,6.7249,0.00,0.2074
Carrots,-2.3331,0.1661,6.8735,0.00,0.2074
Carrots,-2.3331,0.1661,7.0296,0.00,0.2074
Carrots,-2.4519,0.1661,6.5615,0.00,0.2074
Carrots,-2.4519,0.1661,6.7249,0.00,0.2074
Carrots,-2.4519,0.1661,6.8735,0.00,0.2074
Carrots,-2.4519,0.1661,7.0296,0.00,0.2074
Carrots,-0.6178,0.1661,7.0296,0.00,0.2074
Carrots,-0.6178,0.1661,6.8735,0.00,0.2074
Carrots,-0.6178,0.1661,6.7249,0.00,0.2074
Carrots,-0.6178,0.1661,6.5615,0.00,0.2074
Carrots,-0.7086,0.1661,6.5615,0.00,0.2074
Carrots,-0.7086,0.1661,6.7249,0.00,0.2074
Carrots,-0.7086,0.1661,6.8735,0.00,0.2074
Carrots,-0.7086,0.1661,7.0296,0.00,0.2074
Carrots,-0.8274,0.1661,6.5615,0.00,0.2074
Carrots,-0.8274,0.1661,6.7249,0.00,0.2074
Carrots,-0.8274,0.1661,6.8735,0.00,0.2074
Carrots,-0.8274,0.1661,7.0296,0.00,0.2074
Carrots,-0.9183,0.1661,6.5615,0.00,0.2074
Carrots,-0.9183,0.1661,6.7249,0.00,0.2074
Carrots,-0.9183,0.1661,6.8735,0.00,0.2074
Carrots,-0.9183,0.1661,7.0296,0.00,0.2074
Carrots,-1.0372,0.1661,6.5615,0.00,0.2074
Carrots,-1.0372,0.1661,6.7249,0.00,0.2074
Carrots,-1.0372,0.1661,6.8735,0.00,0.2074
Carrots,-1.0372,0.1661,7.0296,0.00,0.2074
Carrots,-1.1183,0.1661,6.5615,0.00,0.2074
Carrots,-1.1183,0.1661,6.7249,0.00,0.2074
Carrots,-1.1183,0.1661,6.8735,0.00,0.2074
Carrots,-1.1183,0.1661,7.0296,0.00,0.2074
Carrots,-1.2372,0.1661,6.5615,0.00,0.2074
Carrots,-1.2372,0.1661,6.7249,0.00,0.2074
Carrots,-1.2372,0.1661,6.8735,0.00,0.2074
Carrots,-1.2372,0.1661,7.0296,0.00,0.2074
Carrots,0.6625,0.1661,7.0296,0.00,0.2074
Carrots,0.6625,0.1661,6.8735,0.00,0.2074
Carrots,0.6625,0.1661,6.7249,0.00,0.2074
Carrots,0.6625,0.1661,6.5615,0.00,0.2074
Carrots,0.5718,0.1661,6.5615,0.00,0.2074
Carrots,0.5718,0.1661,6.7249,0.00,0.2074
Carrots,0.5718,0.1661,6.8735,0.00,0.2074
Carrots,0.5718,0.1661,7.0296,0.00,0.2074
Carrots,0.4529,0.1661,6.5615,0.00,0.2074
Carrots,0.4529,0.1661,6.7249,0.00,0.2074
Carrots,0.4529,0.1661,6.8735,0.00,0.2074
Carrots,0.4529,0.1661,7.0296,0.00,0.2074
Carrots,0.3620,0.1661,6.5615,0.00,0.2074
Carrots,0.3620,0.1661,6.7249,0.00,0.2074
Carrots,0.3620,0.1661,6.8735,0.00,0.2074
Carrots,0.3620,0.1661,7.0296,0.00,0.2074
Carrots,0.2431,0.1661,6.5615,0.00,0.2074
Carrots,0.2431,0.1661,6.7249,0.00,0.2074
Carrots,0.2431,0.1661,6.8735,0.00,0.2074
Carrots,0.2431,0.1661,7.0296,0.00,0.2074
Carrots,0.1620,0.1661,6.5615,0.00,0.2074
Carrots,0.1620,0.1661,6.7249,0.00,0.2074
Carrots,0.1620,0.1661,6.8735,0.00,0.2074
Carrots,0.1620,0.1661,7.0296,0.00,0.2074
Carrots,0.0431,0.1661,6.5615,0.00,0.2074
Carrots,0.0431,0.1661,6.7249,0.00,0.2074
Carrots,0.0431,0.1661,6.8735,0.00,0.2074
Carrots,0.0431,0.1661,7.0296,0.00,0.2074
Carrots,-6.8289,0.1661,0.8184,0.00,0.2074
Carrots,-6.8289,0.1661,0.6623,0.00,0.2074
Carrots,-6.8289,0.1661,0.5138,0.00,0.2074
Carrots,-6.8289,0.1661,0.3503,0.00,0.2074
Carrots,-6.9197,0.1661,0.3503,0.00,0.2074
Carrots,-6.9197,0.1661,0.5138,0.00,0.2074
Carrots,-6.9197,0.1661,0.6623,0.00,0.2074
Carrots,-6.9197,0.1661,0.8184,0.00,0.2074
Carrots,-7.0385,0.1661,0.3503,0.00,0.2074
Carrots,-7.0385,0.1661,0.5138,0.00,0.2074
Carrots,-7.0385,0.1661,0.6623,0.00,0.2074
Carrots,-7.0385,0.1661,0.8184,0.00,0.2074
Carrots,-7.1294,0.1661,0.3503,0.00,0.2074
Carrots,-7.1294,0.1661,0.5138,0.00,0.2074
Carrots,-7.1294,0.1661,0.6623,0.00,0.2074
Carrots,-7.1294,0.1661,0.8184,0.00,0.2074
Carrots,-7.2483,0.1661,0.3503,0.00,0.2074
Carrots,-7.2483,0.1661,0.5138,0.00,0.2074
Carrots,-7.2483,0.1661,0.6623,0.00,0.2074
Carrots,-7.2483,0.1661,0.8184,0.00,0.2074
Carrots,-7.3295,0.1661,0.3503,0.00,0.2074
Carrots,-7.3295,0.1661,0.5138,0.00,0.2074
Carrots,-7.3295,0.1661,0.6623,0.00,0.2074
Carrots,-7.3295,0.1661,0.8184,0.00,0.2074
Carrots,-7.4483,0.1661,0.3503,0.00,0.2074
Carrots,-7.4483,0.1661,0.5138,0.00,0.2074
Carrots,-7.4483,0.1661,0.6623,0.00,0.2074
Carrots,-7.4483,0.1661,0.8184,0.00,0.2074
Carrots,-5.6037,0.1661,0.8184,0.00,0.2074
Carrots,-5.6037,0.1661,0.6623,0.00,0.2074
Carrots,-5.6037,0.1661,0.5138,0.00,0.2074
Carrots,-5.6037,0.1661,0.3503,0.00,0.2074
Carrots,-5.6945,0.1661,0.3503,0.00,0.2074
Carrots,-5.6945,0.1661,0.5138,0.00,0.2074
Carrots,-5.6945,0.1661,0.6623,0.00,0.2074
Carrots,-5.6945,0.1661,0.8184,0.00,0.2074
Carrots,-5.8133,0.1661,0.3503,0.00,0.2074
Carrots,-5.8133,0.1661,0.5138,0.00,0.2074
Carrots,-5.8133,0.1661,0.6623,0.00,0.2074
Carrots,-5.8133,0.1661,0.8184,0.00,0.2074
Carrots,-5.9042,0.1661,0.3503,0.00,0.2074
Carrots,-5.9042,0.1661,0.5138,0.00,0.2074
Carrots,-5.9042,0.1661,0.6623,0.00,0.2074
Carrots,-5.9042,0.1661,0.8184,0.00,0.2074
Carrots,-6.0231,0.1661,0.3503,0.00,0.2074
Carrots,-6.0231,0.1661,0.5138,0.00,0.2074
Carrots,-6.0231,0.1661,0.6623,0.00,0.2074
Carrots,-6.0231,0.1661,0.8184,0.00,0.2074
Carrots,-6.1042,0.1661,0.3503,0.00,0.2074
Carrots,-6.1042,0.1661,0.5138,0.00,0.2074
Carrots,-6.1042,0.1661,0.6623,0.00,0.2074
Carrots,-6.1042,0.1661,0.8184,0.00,0.2074
Carrots,-6.2231,0.1661,0.3503,0.00,0.2074
Carrots,-6.2231,0.1661,0.5138,0.00,0.2074
Carrots,-6.2231,0.1661,0.6623,0.00,0.2074
Carrots,-6.2231,0.1661,0.8184,0.00,0.2074
Carrots,-4.3234,0.1661,0.8184,0.00,0.2074
Carrots,-4.3234,0.1661,0.6623,0.00,0.2074
Carrots,-4.3234,0.1661,0.5138,0.00,0.2074
Carrots,-4.3234,0.1661,0.3503,0.00,0.2074
Carrots,-4.4141,0.1661,0.3503,0.00,0.2074
Carrots,-4.4141,0.1661,0.5138,0.00,0.2074
Carrots,-4.4141,0.1661,0.6623,0.00,0.2074
Carrots,-4.4141,0.1661,0.8184,0.00,0.2074
Carrots,-4.5330,0.1661,0.3503,0.00,0.2074
Carrots,-4.5330,0.1661,0.5138,0.00,0.2074
Carrots,-4.5330,0.1661,0.6623,0.00,0.2074
Carrots,-4.5330,0.1661,0.8184,0.00,0.2074
Carrots,-4.6239,0.1661,0.3503,0.00,0.2074
Carrots,-4.6239,0.1661,0.5138,0.00,0.2074
Carrots,-4.6239,0.1661,0.6623,0.00,0.2074
Carrots,-4.6239,0.1661,0.8184,0.00,0.2074
Carrots,-4.7428,0.1661,0.3503,0.00,0.2074
Carrots,-4.7428,0.1661,0.5138,0.00,0.2074
Carrots,-4.7428,0.1661,0.6623,0.00,0.2074
Carrots,-4.7428,0.1661,0.8184,0.00,0.2074
Carrots,-4.8239,0.1661,0.3503,0.00,0.2074
Carrots,-4.8239,0.1661,0.5138,0.00,0.2074
Carrots,-4.8239,0.1661,0.6623,0.00,0.2074
Carrots,-4.8239,0.1661,0.8184,0.00,0.2074
Carrots,-4.9428,0.1661,0.3503,0.00,0.2074
Carrots,-4.9428,0.1661,0.5138,0.00,0.2074
Carrots,-4.9428,0.1661,0.6623,0.00,0.2074
Carrots,-4.9428,0.1661,0.8184,0.00,0.2074
Carrots,-3.1360,0.1661,0.8184,0.00,0.2074
Carrots,-3.1360,0.1661,0.6623,0.00,0.2074
Carrots,-3.1360,0.1661,0.5138,0.00,0.2074
Carrots,-3.1360,0.1661,0.3503,0.00,0.2074
Carrots,-3.2268,0.1661,0.3503,0.00,0.2074
Carrots,-3.2268,0.1661,0.5138,0.00,0.2074
Carrots,-3.2268,0.1661,0.6623,0.00,0.2074
Carrots,-3.2268,0.1661,0.8184,0.00,0.2074
Carrots,-3.3456,0.1661,0.3503,0.00,0.2074
Carrots,-3.3456,0.1661,0.5138,0.00,0.2074
Carrots,-3.3456,0.1661,0.6623,0.00,0.2074
Carrots,-3.3456,0.1661,0.8184,0.00,0.2074
Carrots,-3.4366,0.1661,0.3503,0.00,0.2074
Carrots,-3.4366,0.1661,0.5138,0.00,0.2074
Carrots,-3.4366,0.1661,0.6623,0.00,0.2074
Carrots,-3.4366,0.1661,0.8184,0.00,0.2074
Carrots,-3.5554,0.1661,0.3503,0.00,0.2074
Carrots,-3.5554,0.1661,0.5138,0.00,0.2074
Carrots,-3.5554,0.1661,0.6623,0.00,0.2074
Carrots,-3.5554,0.1661,0.8184,0.00,0.2074
Carrots,-3.6366,0.1661,0.3503,0.00,0.2074
Carrots,-3.6366,0.1661,0.5138,0.00,0.2074
Carrots,-3.6366,0.1661,0.6623,0.00,0.2074
Carrots,-3.6366,0.1661,0.8184,0.00,0.2074
Carrots,-3.7554,0.1661,0.3503,0.00,0.2074
Carrots,-3.7554,0.1661,0.5138,0.00,0.2074
Carrots,-3.7554,0.1661,0.6623,0.00,0.2074
Carrots,-3.7554,0.1661,0.8184,0.00,0.2074
Carrots,-1.8557,0.1661,0.8184,0.00,0.2074
Carrots,-1.8557,0.1661,0.6623,0.00,0.2074
Carrots,-1.8557,0.1661,0.5138,0.00,0.2074
Carrots,-1.8557,0.1661,0.3503,0.00,0.2074
Carrots,-1.9465,0.1661,0.3503,0.00,0.2074
Carrots,-1.9465,0.1661,0.5138,0.00,0.2074
Carrots,-1.9465,0.1661,0.6623,0.00,0.2074
Carrots,-1.9465,0.1661,0.8184,0.00,0.2074
Carrots,-2.0653,0.1661,0.3503,0.00,0.2074
Carrots,-2.0653,0.1661,0.5138,0.00,0.2074
Carrots,-2.0653,0.1661,0.6623,0.00,0.2074
Carrots,-2.0653,0.1661,0.8184,0.00,0.2074
Carrots,-2.1562,0.1661,0.3503,0.00,0.2074
Carrots,-2.1562,0.1661,0.5138,0.00,0.2074
Carrots,-2.1562,0.1661,0.6623,0.00,0.2074
Carrots,-2.1562,0.1661,0.8184,0.00,0.2074
Carrots,-2.2751,0.1661,0.3503,0.00,0.2074
Carrots,-2.2751,0.1661,0.5138,0.00,0.2074
Carrots,-2.2751,0.1661,0.6623,0.00,0.2074
Carrots,-2.2751,0.1661,0.8184,0.00,0.2074
Carrots,-2.3563,0.1661,0.3503,0.00,0.2074
Carrots,-2.3563,0.1661,0.5138,0.00,0.2074
Carrots,-2.3563,0.1661,0.6623,0.00,0.2074
Carrots,-2.3563,0.1661,0.8184,0.00,0.2074
Carrots,-2.4751,0.1661,0.3503,0.00,0.2074
Carrots,-2.4751,0.1661,0.5138,0.00,0.2074
Carrots,-2.4751,0.1661,0.6623,0.00,0.2074
Carrots,-2.4751,0.1661,0.8184,0.00,0.2074
Carrots,-0.6410,0.1661,0.8184,0.00,0.2074
Carrots,-0.6410,0.1661,0.6623,0.00,0.2074
Carrots,-0.6410,0.1661,0.5138,0.00,0.2074
Carrots,-0.6410,0.1661,0.3503,0.00,0.2074
Carrots,-0.7317,0.1661,0.3503,0.00,0.2074
Carrots,-0.7317,0.1661,0.5138,0.00,0.2074
Carrots,-0.7317,0.1661,0.6623,0.00,0.2074
Carrots,-0.7317,0.1661,0.8184,0.00,0.2074
Carrots,-0.8506,0.1661,0.3503,0.00,0.2074
Carrots,-0.8506,0.1661,0.5138,0.00,0.2074
Carrots,-0.8506,0.1661,0.6623,0.00,0.2074
Carrots,-0.8506,0.1661,0.8184,0.00,0.2074
Carrots,-0.9415,0.1661,0.3503,0.00,0.2074
Carrots,-0.9415,0.1661,0.5138,0.00,0.2074
Carrots,-0.9415,0.1661,0.6623,0.00,0.2074
Carrots,-0.9415,0.1661,0.8184,0.00,0.2074
Carrots,-1.0604,0.1661,0.3503,0.00,0.2074
